S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,Danger Rating
161.0,-4.0,-5.1,4.4,-0.691304347826087,508.0,-1.0,-3.4,9.6,1.8521739130434782,165.0,4.0,-0.4,8.8,2.3434782608695652,509.0,0.0,-0.3,8.2,2.5565217391304347,2
261.0,0.0,-18.6,-9.7,-14.717391304347826,784.0,8.0,-9.7,-3.1,-7.717391304347826,261.0,4.0,-18.0,-8.7,-13.76086956521739,776.0,5.0,-9.5,-6.5,-8.095652173913043,3
265.0,4.0,-13.4,6.9,-7.791304347826087,791.0,1.0,-2.7,13.2,1.6695652173913043,261.0,0.0,-17.5,-0.1,-11.447826086956521,790.0,6.0,-6.4,11.0,-1.2043478260869565,3
316.0,-3.0,-10.2,6.2,-3.2130434782608694,942.0,-1.0,-6.2,4.9,-1.326086956521739,319.0,11.0,-2.7,3.4,0.6173913043478261,943.0,-2.0,-5.0,7.7,-0.5782608695652174,2
369.0,-5.0,-13.0,6.2,-4.9,1062.0,4.0,-9.1,6.5,-3.3304347826086955,374.0,10.0,-7.9,2.9,-3.782608695652174,1058.0,1.0,-8.9,-1.0,-5.530434782608696,2
402.0,-1.0,-6.0,5.9,-1.2695652173913043,1164.0,0.0,-4.8,6.6,-0.13043478260869568,403.0,3.0,-10.5,7.1,-2.339130434782609,1164.0,-2.0,-6.6,9.1,-0.11304347826086955,3
320.0,-18.0,-1.3,12.4,3.7,1149.0,-8.0,0.1,10.5,2.882608695652174,338.0,-18.0,2.0,9.0,4.765217391304348,1157.0,-8.0,0.7,3.6,1.4739130434782608,-1
1.0,1.0,8.0,13.5,10.004347826086956,0,0,5.8,14.4,9.48695652173913,0.0,0.0,3.8,15.9,9.513043478260869,0,0,4.2,17.3,10.139130434782608,-1
0.0,0.0,3.8,18.5,10.052173913043479,0,0,4.9,16.4,9.230434782608695,0,0,0.9,17.0,8.486956521739131,0,0,5.5,17.6,10.378260869565217,-1
0,0,5.7,22.2,12.626086956521739,0,0,10.7,23.0,16.247826086956522,0,0,3.7,19.3,10.647826086956522,0,0,7.8,20.1,13.013043478260869,-1
0,0,3.5,19.8,11.608695652173912,0,0,9.1,17.1,12.365217391304348,0,0,7.0,20.3,14.517391304347825,0,0,10.9,19.0,14.808695652173913,-1
0,0,5.6,11.1,7.71304347826087,0,0,7.4,8.7,7.895652173913043,0,0,0.0,12.9,7.71304347826087,0,0,7.4,10.0,8.634782608695652,-1
0,0,6.7,12.3,9.404347826086957,0,0,6.7,10.6,8.304347826086957,0,0,7.6,12.9,10.269565217391305,0,0,6.5,15.8,9.482608695652173,-1
161.0,2.0,-2.5,0.4,-1.1782608695652175,215.0,43.0,-1.0,0.0,-0.3,159.0,19.0,-1.3,0.8,0.11304347826086956,172.0,13.0,-0.6,0.9,-0.06956521739130435,3
226.0,9.0,-18.9,-1.4,-15.330434782608696,399.0,10.0,-6.5,-4.5,-5.930434782608695,217.0,-5.0,-14.6,-4.6,-9.365217391304348,389.0,-3.0,-9.8,-5.4,-7.4913043478260875,3
259.0,-4.0,-8.6,1.4,-4.739130434782608,467.0,-2.0,-2.6,3.2,-0.5478260869565218,263.0,4.0,-3.3,3.5,0.20000000000000004,469.0,-1.0,0.0,3.0,0.8782608695652174,1
253.0,-6.0,-9.5,0.1,-6.017391304347826,467.0,0.0,-3.3,5.8,0.05217391304347827,259.0,-4.0,-8.6,1.4,-4.739130434782608,467.0,-2.0,-2.6,3.2,-0.5478260869565218,1
289.0,8.0,-0.6,4.2,0.6956521739130435,613.0,-7.0,0.1,3.7,1.2695652173913043,281.0,-3.0,0.7,4.1,2.0739130434782607,620.0,-3.0,0.8,2.2,1.4173913043478261,3
293.0,6.0,-0.4,3.5,1.5956521739130436,605.0,-5.0,0.4,4.1,1.6130434782608696,287.0,-2.0,-0.7,6.2,1.2304347826086957,610.0,-3.0,0.8,3.7,1.7695652173913043,3
259.0,1.0,1.2,8.4,4.1869565217391305,571.0,-2.0,-2.2,7.0,1.4782608695652173,258.0,-27.0,-3.5,12.7,0.9608695652173913,573.0,0.0,0.4,13.2,4.217391304347826,1
261.0,10.0,-14.5,3.6,-7.726086956521739,548.0,-6.0,-10.2,3.5,-4.469565217391304,251.0,-17.0,-6.6,-0.1,-3.4217391304347826,554.0,-4.0,-5.2,4.0,-2.0739130434782607,1
266.0,-15.0,-7.3,7.7,-1.0130434782608695,698.0,-3.0,-4.6,9.7,1.1739130434782608,281.0,-7.0,-6.6,6.7,-1.5391304347826087,701.0,-3.0,-3.9,7.1,0.8478260869565217,2
285.0,-2.0,-4.5,4.3,-1.0956521739130434,711.0,11.0,-4.0,3.1,-1.7956521739130435,287.0,6.0,-3.2,3.2,-0.4956521739130435,700.0,-5.0,-2.6,1.4,-1.365217391304348,-1
0,0,5.9,16.5,10.495652173913044,0,0,6.1,10.9,7.352173913043479,0,0,6.9,15.7,9.991304347826087,0,0,4.8,7.6,5.556521739130435,-1
0,0,10.8,14.5,12.356521739130434,0,0,9.5,15.2,12.043478260869565,0,0,7.1,17.2,11.452173913043477,0,0,8.9,17.7,12.7,-1
0,0,7.7,26.0,15.8,2.0,2.0,14.3,26.7,20.230434782608697,0,0,5.8,24.9,12.930434782608696,0.0,0.0,11.0,23.8,16.98695652173913,-1
0,0,10.7,24.5,17.72608695652174,2.0,-1.0,13.6,26.0,18.321739130434782,0,0,9.4,26.4,17.982608695652175,3.0,0.0,14.9,26.8,20.713043478260868,-1
0,0,9.4,25.2,16.308695652173913,1.0,1.0,13.3,24.2,18.26086956521739,0,0,3.7,20.1,10.617391304347827,0,0,8.4,20.7,13.7,-1
