S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,Danger Rating
242.0,-32.0,1.2,10.6,7.073913043478261,700.0,-2.0,1.4,8.8,5.921739130434783,274.0,-1.0,2.7,9.3,5.621739130434783,702.0,-4.0,-0.3,5.5,1.7913043478260868,275.0,-3.0,-1.6,5.3,1.5956521739130436,706.0,-3.0,-1.7,6.8,1.2869565217391303,-1
150.0,-19.0,-3.2,7.6,0.8521739130434782,656.0,2.0,-1.8,3.6,0.3652173913043478,169.0,-14.0,1.2,8.3,4.260869565217392,654.0,-9.0,1.5,10.0,5.017391304347826,183.0,-1.0,-4.8,10.5,1.182608695652174,663.0,-14.0,-1.4,12.3,4.439130434782609,-1
0,0,5.3,14.2,8.117391304347827,178.0,-31.0,6.0,11.7,7.621739130434783,0,0,3.1,14.0,8.278260869565218,209.0,-26.0,6.4,15.5,9.634782608695652,0,0,5.5,18.1,11.18695652173913,235.0,-34.0,6.8,15.8,10.634782608695652,-1
0,0,1.8,13.6,7.308695652173913,0,0,4.1,12.8,8.5,0,0,8.4,16.9,11.452173913043477,0,0,7.9,18.0,11.856521739130434,0,0,3.9,19.4,11.256521739130434,0,0,9.4,20.4,14.917391304347825,-1
0,0,3.6,22.5,12.378260869565217,0,0,9.2,22.7,14.991304347826087,0,0,10.8,14.5,12.356521739130434,0,0,9.5,15.2,12.043478260869565,0,0,7.1,17.2,11.452173913043477,0,0,8.9,17.7,12.7,-1
0,0,7.9,25.6,15.434782608695652,1.0,1.0,13.5,27.6,19.48695652173913,0,0,3.6,22.5,12.378260869565217,0,0,9.2,22.7,14.991304347826087,0,0,10.8,14.5,12.356521739130434,0,0,9.5,15.2,12.043478260869565,-1
0,0,-0.6,5.9,2.7695652173913046,0,0,1.3,8.8,4.856521739130435,0,0,2.8,16.5,8.469565217391304,0,0,8.0,17.9,11.326086956521738,0,0,3.6,21.6,11.039130434782608,0,0,10.9,21.0,15.88695652173913,-1
70.0,19.0,-3.2,0.5,-1.0434782608695652,188.0,61.0,-4.0,0.0,-2.239130434782609,51.0,3.0,-11.9,-2.4,-7.569565217391304,127.0,-4.0,-8.7,-4.3,-6.165217391304347,48.0,1.0,-7.6,-4.5,-6.534782608695652,131.0,4.0,-3.9,-1.2,-2.717391304347826,-1
230.0,-1.0,-15.2,-4.6,-10.204347826086956,590.0,2.0,-11.3,-0.6,-6.730434782608696,231.0,3.0,-9.7,-0.6,-3.869565217391304,588.0,-1.0,-8.6,-4.1,-6.5,228.0,0.0,-8.4,-4.4,-5.613043478260869,589.0,2.0,-8.6,1.3,-4.578260869565217,2
312.0,14.0,-2.3,1.4,-0.41304347826086957,873.0,29.0,-2.6,0.0,-1.5434782608695652,298.0,-7.0,-11.5,-0.2,-6.839130434782609,844.0,-1.0,-7.2,-1.4,-4.352173913043479,305.0,5.0,-5.2,0.0,-2.0869565217391304,845.0,20.0,-2.7,0.4,-1.7086956521739132,5
338.0,26.0,-1.5,1.8,0.08695652173913043,932.0,59.0,0.0,1.6,0.4434782608695652,312.0,14.0,-2.3,1.4,-0.41304347826086957,873.0,29.0,-2.6,0.0,-1.5434782608695652,298.0,-7.0,-11.5,-0.2,-6.839130434782609,844.0,-1.0,-7.2,-1.4,-4.352173913043479,4
337.0,-3.0,-11.2,-1.6,-7.8,938.0,-12.0,-4.5,-0.4,-2.9695652173913043,340.0,2.0,-5.6,0.3,-2.3260869565217392,950.0,18.0,-2.7,6.2,-0.5956521739130435,338.0,26.0,-1.5,1.8,0.08695652173913043,932.0,59.0,0.0,1.6,0.4434782608695652,2
440.0,12.0,-1.7,3.5,0.7739130434782608,1189.0,20.0,-3.2,0.1,-1.691304347826087,428.0,1.0,-2.3,0.1,-0.8913043478260869,1169.0,20.0,-2.6,0.1,-1.1521739130434783,427.0,14.0,0.0,3.8,1.891304347826087,1149.0,30.0,-0.3,2.3,0.5565217391304348,3
461.0,8.0,-13.1,4.3,-6.391304347826087,1284.0,-1.0,-8.7,8.2,-3.721739130434783,453.0,-6.0,-8.4,1.2,-2.591304347826087,1285.0,5.0,-5.2,6.4,-2.643478260869565,459.0,16.0,-7.6,2.3,-3.1565217391304348,1280.0,-2.0,-7.7,-0.8,-4.521739130434782,2
500.0,19.0,-0.5,1.5,0.05217391304347825,1432.0,21.0,-0.7,0.2,-0.2826086956521739,481.0,5.0,-1.1,3.1,0.3739130434782609,1411.0,21.0,-1.3,2.1,-0.43913043478260866,476.0,-2.0,-4.1,4.3,-0.24782608695652178,1390.0,50.0,-2.8,1.6,-1.2347826086956522,3
593.0,3.0,-2.0,16.9,4.869565217391305,1729.0,-3.0,3.3,18.1,8.782608695652174,590.0,9.0,-2.0,17.2,4.473913043478261,1732.0,0.0,3.5,18.3,9.38695652173913,581.0,4.0,-3.8,15.9,1.7260869565217392,1732.0,-1.0,-1.9,14.4,3.6782608695652175,3
308.0,-25.0,5.6,11.9,7.517391304347826,1437.0,-20.0,5.9,15.7,8.38695652173913,333.0,-22.0,3.8,17.9,9.704347826086956,1457.0,-5.0,5.5,20.3,11.752173913043478,355.0,-17.0,0.4,18.4,7.430434782608696,1462.0,-7.0,3.3,19.4,9.865217391304348,-1
163.0,-23.0,-1.2,14.4,5.98695652173913,1276.0,-24.0,2.1,17.0,9.030434782608696,186.0,-18.0,-1.2,12.6,5.121739130434783,1300.0,-24.0,1.1,13.4,5.695652173913043,204.0,-44.0,-0.4,10.0,5.6869565217391305,1324.0,-33.0,3.4,14.9,7.939130434782609,-1
0,0,1.2,11.4,6.756521739130434,959.0,-23.0,3.1,10.2,5.526086956521739,0,0,0.3,12.0,3.4608695652173913,982.0,-23.0,1.9,14.0,7.073913043478261,0,0,-0.8,4.9,1.1391304347826088,1005.0,-13.0,1.5,12.0,4.6521739130434785,-1
0,0,5.3,22.0,12.71304347826087,21.0,-39.0,9.8,24.2,16.17391304347826,0,0,1.9,19.6,9.578260869565218,60.0,-38.0,5.1,20.5,11.621739130434783,0,0,7.1,14.0,10.034782608695652,98.0,-33.0,5.6,13.7,7.7043478260869565,-1
0,0,6.1,20.6,11.321739130434782,0,0,9.2,17.9,12.71304347826087,0,0,7.6,19.9,11.608695652173914,0,0,8.4,16.0,11.191304347826087,0,0,7.3,15.2,9.126086956521739,0,0,5.6,16.0,9.873913043478261,-1
0,0,5.9,25.3,13.621739130434783,0,0,13.7,26.0,19.530434782608697,0,0,5.0,21.1,11.47391304347826,0,0,13.4,24.2,18.582608695652173,0,0,4.7,19.8,11.221739130434782,0,0,11.0,23.7,16.7,-1
0,0,6.8,23.7,14.369565217391305,0,0,13.5,24.8,19.01304347826087,0,0,5.9,25.3,13.621739130434783,0,0,13.7,26.0,19.530434782608697,0,0,5.0,21.1,11.47391304347826,0,0,13.4,24.2,18.582608695652173,-1
0,0,6.7,19.6,12.121739130434783,0,0,12.4,22.4,14.608695652173912,0,0,6.8,23.7,14.369565217391305,0,0,13.5,24.8,19.01304347826087,0,0,5.9,25.3,13.621739130434783,0,0,13.7,26.0,19.530434782608697,-1
0,0,3.1,11.0,6.926086956521739,0,0,3.8,10.5,6.1,0,0,4.3,8.8,6.469565217391304,0,0,6.1,9.0,6.6869565217391305,0,0,3.7,12.1,6.691304347826087,0,0,4.5,10.9,6.065217391304348,-1
0,0,3.9,11.7,7.21304347826087,0,0,3.1,7.6,4.478260869565218,0,0,-0.4,8.1,3.360869565217391,0,0,1.3,6.3,3.217391304347826,0,0,3.5,7.6,5.873913043478261,0,0,2.6,8.7,4.51304347826087,-1
77.0,1.0,-26.0,-14.9,-21.556521739130435,364.0,3.0,0.0,0.0,0.0,76.0,0.0,-27.5,-22.0,-24.752173913043478,361.0,0.0,-6.9,0.0,-0.5347826086956522,76.0,-4.0,-25.2,-18.0,-21.839130434782607,361.0,-3.0,-18.6,-3.1,-14.617391304347827,3
75.0,-5.0,-24.2,-16.7,-21.93913043478261,383.0,-4.0,-8.8,0.0,-0.6739130434782609,80.0,-1.0,-18.5,-15.4,-16.526086956521738,387.0,1.0,-8.7,0.0,-0.5652173913043478,81.0,0.0,-17.4,-14.0,-16.117391304347827,386.0,12.0,0.0,0.0,0.0,2
100.0,18.0,-4.9,-2.7,-3.643478260869565,437.0,50.0,0.0,0.0,0.0,82.0,9.0,-10.3,-2.5,-4.934782608695652,387.0,5.0,0.0,0.0,0.0,73.0,-1.0,-22.3,-8.3,-15.243478260869566,382.0,0.0,0.0,0.0,0.0,4
142.0,12.0,-5.5,-3.2,-4.178260869565217,514.0,42.0,0.0,0.0,0.0,130.0,3.0,-10.6,-3.3,-6.113043478260869,472.0,4.0,0.0,0.0,0.0,127.0,-1.0,-20.3,-10.7,-15.056521739130435,468.0,-4.0,-3.9,0.0,-0.30434782608695654,3
167.0,-1.0,-17.1,-13.5,-15.443478260869565,582.0,-2.0,-9.4,0.0,-0.40869565217391307,168.0,-2.0,-14.0,-7.4,-11.339130434782609,584.0,4.0,0.0,0.0,0.0,170.0,6.0,-9.0,-5.1,-7.047826086956522,580.0,0.0,0.0,0.0,0.0,2
183.0,1.0,-19.4,-7.7,-13.373913043478261,620.0,0.0,-9.5,1.7,-0.45217391304347826,182.0,-2.0,-23.9,-14.3,-20.717391304347828,620.0,-3.0,-7.7,2.8,-0.22608695652173913,184.0,0.0,-18.9,-17.0,-17.630434782608695,623.0,3.0,-10.5,0.0,-0.8695652173913043,2
195.0,5.0,-0.1,2.9,1.0739130434782609,626.0,3.0,0.0,0.0,0.0,190.0,3.0,-1.8,1.6,-0.13913043478260867,623.0,2.0,-0.7,8.6,1.0434782608695652,187.0,3.0,-5.4,1.6,-2.252173913043478,621.0,1.0,0.0,6.4,0.6434782608695653,2
251.0,2.0,-1.5,1.5,-0.06521739130434784,856.0,-1.0,-1.1,0.0,-0.04782608695652174,249.0,-6.0,-8.5,0.2,-4.113043478260869,857.0,-1.0,-1.4,0.2,-0.09565217391304347,255.0,0.0,-7.6,-2.2,-5.147826086956521,858.0,1.0,0.0,0.0,0.0,2
277.0,1.0,-17.3,-14.5,-16.104347826086958,888.0,31.0,0.0,0.0,0.0,276.0,6.0,-19.9,-16.3,-18.434782608695652,857.0,0.0,0.0,0.0,0.0,270.0,4.0,-21.7,-10.3,-16.93913043478261,857.0,-1.0,-2.8,2.4,0.07391304347826087,3
356.0,-4.0,-13.7,-4.7,-9.395652173913044,1101.0,-1.0,-3.4,0.0,-0.2956521739130435,360.0,0.0,-13.5,-3.0,-7.243478260869566,1102.0,-4.0,-0.4,3.2,0.2,360.0,5.0,-5.9,-0.9,-3.6478260869565218,1106.0,18.0,0.0,2.6,0.18695652173913044,2
401.0,13.0,-14.6,-1.2,-11.378260869565217,1235.0,25.0,0.0,2.9,0.17391304347826086,388.0,0.0,-15.1,-7.3,-11.591304347826087,1210.0,3.0,0.0,0.0,0.0,388.0,-3.0,-9.5,-5.9,-7.552173913043478,1207.0,20.0,-5.3,0.0,-0.508695652173913,4
480.0,3.0,-5.2,0.9,-2.6652173913043478,1425.0,21.0,-0.3,0.5,0.0043478260869565235,477.0,4.0,-1.8,3.6,1.2304347826086957,1404.0,23.0,0.0,1.7,0.13043478260869565,473.0,16.0,-7.2,6.5,-3.043478260869565,1381.0,1.0,-0.7,3.6,0.5217391304347826,3
285.0,-21.0,-1.7,13.8,5.156521739130435,1471.0,-1.0,0.0,19.6,7.678260869565218,306.0,-19.0,-1.8,9.6,3.5,1472.0,4.0,0.0,10.9,4.860869565217391,325.0,-18.0,0.5,9.8,4.8130434782608695,1468.0,-39.0,0.0,9.8,3.730434782608696,-1
3.0,-7.0,3.9,11.5,7.339130434782609,1276.0,-21.0,0.0,7.6,3.856521739130435,10.0,-27.0,3.9,11.2,7.8304347826086955,1297.0,-14.0,0.0,11.8,4.8826086956521735,37.0,-41.0,4.7,17.3,10.304347826086957,1311.0,-26.0,0.0,19.6,9.382608695652173,-1
0,0,3.1,8.3,5.621739130434783,1232.0,-20.0,0.0,11.1,3.3434782608695652,0,-3.0,3.5,9.7,5.965217391304348,1252.0,-24.0,0.0,9.9,2.9347826086956523,3.0,-7.0,3.9,11.5,7.339130434782609,1276.0,-21.0,0.0,7.6,3.856521739130435,-1
0,0,4.6,19.8,11.043478260869565,1140.0,-30.0,7.4,23.1,13.847826086956522,0,0,2.7,16.5,9.060869565217391,1170.0,-23.0,0.0,20.5,9.904347826086957,0,0,-0.8,12.0,4.8478260869565215,1193.0,-15.0,0.0,17.4,6.217391304347826,-1
0,0,2.7,13.9,7.395652173913043,1029.0,-20.0,0.0,11.6,4.8478260869565215,0,0,1.8,9.3,5.8478260869565215,1049.0,-23.0,0.0,9.2,3.2782608695652176,0,0,1.5,9.8,5.008695652173913,1072.0,-29.0,0.0,9.6,2.9,-1
0,0,0.0,0.0,0.0,0,0,0.0,16.8,10.560869565217391,0,0,0.0,0.0,0.0,0,0,6.8,10.4,8.060869565217391,0,0,0.0,0.0,0.0,0,0,0.0,10.4,7.308695652173913,-1
0,0,0.0,0.0,0.0,0,0,9.5,18.8,13.521739130434783,0,0,0.0,0.0,0.0,0,0,8.6,19.5,13.669565217391304,0,0,0.0,0.0,0.0,0,0,7.7,18.8,12.939130434782609,-1
0,0,0.0,0.0,0.0,0,0,14.3,26.2,19.065217391304348,0,0,0.0,0.0,0.0,0,0,12.9,24.6,17.965217391304346,0,0,0.0,0.0,0.0,0,0,8.7,22.2,14.47391304347826,-1
0,0,0.0,0.0,0.0,0.0,0.0,11.6,22.7,16.504347826086956,0,0,0.0,0.0,0.0,0,0,8.2,20.8,12.61304347826087,0,0,0.0,0.0,0.0,0,0,8.4,16.5,11.126086956521739,-1
0,0,0.0,0.0,0.0,0,0,8.4,18.9,12.773913043478261,0,0,0.0,0.0,0.0,0,-1.0,7.9,17.7,11.408695652173913,0,0,0.0,0.0,0.0,1.0,-1.0,11.5,21.7,15.378260869565217,-1
0,0,0.0,0.0,0.0,0,0,7.1,9.7,7.530434782608696,0,0,0.0,0.0,0.0,0,0,0.0,12.6,4.965217391304348,0,0,0.0,0.0,0.0,0,0,0.0,12.1,4.956521739130435,-1
0,0,0.0,8.3,1.7043478260869567,0,0,0.0,12.3,5.160869565217391,0,0,0.0,0.0,0.0,0,0,2.8,9.1,5.143478260869565,0,0,0.0,0.0,0.0,0,0,0.2,8.0,3.121739130434783,-1
2.0,-2.0,0.4,4.0,1.934782608695652,0,0,-0.3,3.3,1.182608695652174,4.0,2.0,2.8,9.4,5.682608695652174,0,0,2.3,8.7,4.556521739130435,2.0,2.0,-0.9,14.9,4.747826086956522,0,0,4.6,15.3,8.57391304347826,-1
56.0,18.0,-3.8,0.1,-2.291304347826087,140.0,50.0,-1.7,-0.3,-0.8782608695652174,38.0,15.0,-1.0,0.3,-0.3173913043478261,90.0,32.0,-1.5,0.0,-0.8478260869565217,23.0,3.0,-0.4,1.7,0.47391304347826085,58.0,0.0,-1.3,0.1,-0.691304347826087,-1
249.0,9.0,-19.9,-16.9,-18.143478260869564,720.0,19.0,-5.4,-2.8,-4.039130434782608,240.0,0.0,-17.0,-14.6,-15.939130434782609,701.0,14.0,-6.8,-3.2,-5.221739130434782,240.0,4.0,-13.7,-8.0,-11.126086956521739,687.0,2.0,-8.0,-6.3,-7.460869565217392,3
441.0,-1.0,-9.6,-4.4,-6.539130434782608,1195.0,19.0,-6.0,-0.5,-4.539130434782608,442.0,5.0,-10.0,-4.6,-6.734782608695652,1176.0,24.0,-7.1,-1.3,-3.7956521739130435,437.0,9.0,-4.6,-1.4,-2.6652173913043478,1152.0,34.0,-3.0,0.1,-1.891304347826087,3
488.0,3.0,-3.2,3.5,0.682608695652174,1367.0,17.0,-3.9,1.8,-2.1565217391304348,485.0,0.0,-6.5,-2.2,-4.547826086956522,1350.0,11.0,-5.6,-1.2,-4.282608695652174,485.0,0.0,-8.2,-4.0,-5.752173913043478,1339.0,4.0,-6.2,-3.1,-4.98695652173913,3
506.0,16.0,-15.7,-4.6,-7.956521739130435,1477.0,-3.0,-13.4,-9.0,-10.895652173913044,490.0,-12.0,-17.1,-8.2,-11.282608695652174,1480.0,-1.0,-15.0,-2.1,-10.465217391304348,502.0,7.0,-21.7,-8.5,-13.447826086956521,1481.0,1.0,-16.7,-6.9,-12.652173913043478,3
495.0,-27.0,-14.2,-4.0,-9.743478260869566,1498.0,0.0,-13.4,-1.1,-8.482608695652173,522.0,19.0,-7.2,-4.1,-5.769565217391304,1498.0,11.0,-7.1,0.1,-5.1869565217391305,503.0,-3.0,-16.0,-4.5,-8.539130434782608,1487.0,10.0,-13.3,3.0,-7.443478260869566,3
548.0,12.0,-2.8,2.0,-0.7260869565217392,1610.0,-2.0,-3.8,0.8,-1.6478260869565218,536.0,0.0,-7.1,2.0,-3.126086956521739,1612.0,2.0,-4.5,2.9,-1.3565217391304347,536.0,-7.0,-8.9,3.3,-2.8521739130434782,1610.0,-1.0,-6.3,7.7,-0.8521739130434782,1
648.0,2.0,-4.8,4.1,-0.6347826086956522,1836.0,-5.0,-3.9,7.3,0.8608695652173912,646.0,-3.0,-5.3,3.2,-1.0826086956521739,1841.0,-1.0,-3.6,6.6,-0.26086956521739135,649.0,-2.0,-4.7,1.6,-1.4608695652173913,1842.0,4.0,-2.3,3.2,-0.808695652173913,2
315.0,-30.0,1.0,16.8,7.817391304347826,1517.0,-28.0,4.6,19.3,9.869565217391305,345.0,-29.0,3.0,15.5,8.743478260869566,1545.0,-22.0,5.4,20.4,12.291304347826086,374.0,-24.0,2.8,16.6,8.97391304347826,1567.0,-28.0,6.4,23.2,13.560869565217391,-1
4.0,1.0,6.0,25.0,14.143478260869566,656.0,-52.0,10.5,26.0,17.43913043478261,3.0,0.0,4.0,22.4,11.547826086956523,708.0,-61.0,8.8,22.9,15.513043478260869,3.0,0.0,3.0,17.8,7.082608695652174,769.0,-47.0,5.9,19.7,11.68695652173913,-1
6.0,1.0,10.5,19.4,15.1,0,0,12.1,23.7,16.08695652173913,5.0,2.0,8.8,22.5,15.52608695652174,0,0,13.5,25.4,19.217391304347824,3.0,0.0,6.1,25.0,14.452173913043477,0,0,12.3,25.5,18.547826086956523,-1
3.0,-3.0,5.6,15.3,11.269565217391305,0,0,9.8,18.6,12.130434782608695,6.0,1.0,10.5,19.4,15.1,0,0,12.1,23.7,16.08695652173913,5.0,2.0,8.8,22.5,15.52608695652174,0,0,13.5,25.4,19.217391304347824,-1
3.0,1.0,5.1,20.3,11.434782608695652,0,0,8.5,22.0,14.282608695652174,2.0,-1.0,3.2,14.5,7.021739130434782,0,0,4.6,15.6,8.978260869565217,3.0,0.0,1.4,12.4,7.260869565217391,0,0,4.1,13.0,8.756521739130434,-1
3.0,-1.0,5.1,18.1,11.982608695652175,0.0,0.0,10.1,23.2,15.4,4.0,0.0,7.9,20.3,13.830434782608696,0.0,-1.0,9.9,20.3,14.778260869565218,4.0,-1.0,8.4,20.4,13.691304347826087,1.0,0.0,11.4,21.5,16.421739130434784,-1
3.0,-1.0,-0.1,3.6,2.247826086956522,0,0,0.4,5.2,1.9478260869565218,4.0,0.0,1.8,4.6,3.1826086956521737,0,0,1.4,2.6,1.8304347826086957,4.0,-17.0,2.8,6.0,4.143478260869565,0,-20.0,2.9,6.9,5.126086956521739,-1
2.0,1.0,-2.4,5.5,-0.2956521739130435,40.0,1.0,1.8,12.2,4.821739130434783,1.0,-1.0,-3.0,3.9,-1.3391304347826087,39.0,1.0,-1.9,14.4,2.908695652173913,2.0,-5.0,-8.5,-1.2,-5.326086956521739,38.0,-1.0,-5.6,6.8,-1.5347826086956522,-1
18.0,0.0,-9.7,-3.2,-7.691304347826087,172.0,2.0,-3.5,-0.7,-2.573913043478261,18.0,1.0,-7.4,-2.9,-5.395652173913043,170.0,-1.0,-2.4,1.3,-1.0217391304347825,17.0,1.0,-1.4,0.5,-0.47391304347826085,171.0,1.0,-0.8,1.2,-0.07391304347826087,2
16.0,-1.0,-14.8,-5.1,-11.208695652173914,167.0,3.0,-11.2,3.6,-7.104347826086957,17.0,-1.0,-15.4,-10.9,-12.491304347826087,164.0,-3.0,-10.5,-0.1,-6.98695652173913,18.0,0.0,-9.5,-5.0,-6.408695652173913,167.0,-4.0,-7.8,3.7,-4.308695652173913,2
17.0,1.0,-14.1,-8.6,-11.852173913043478,169.0,2.0,-7.7,4.5,-4.217391304347826,16.0,-1.0,-14.8,-5.1,-11.208695652173914,167.0,3.0,-11.2,3.6,-7.104347826086957,17.0,-1.0,-15.4,-10.9,-12.491304347826087,164.0,-3.0,-10.5,-0.1,-6.98695652173913,2
198.0,-1.0,-14.4,-5.4,-10.782608695652174,744.0,5.0,-11.1,-1.5,-7.260869565217392,199.0,1.0,-11.0,-2.4,-5.521739130434782,739.0,5.0,-8.8,-2.5,-5.956521739130435,198.0,-1.0,-15.3,-9.7,-12.873913043478261,734.0,-2.0,-10.9,1.1,-6.569565217391305,2
