S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,Danger Rating
0.055615550755939526,0.8665231431646931,0.4510638297872341,0.4274509803921569,0.4080604534005037,0.18466522678185746,0.9095801937567276,0.4617021276595745,0.43137254901960786,0.43455546226327074,0.055615550755939526,0.8697524219590957,0.6340425531914894,0.49607843137254903,0.5616195540628789,0.16306695464362853,0.8805166846071043,0.5829787234042554,0.41568627450980394,0.494822278197593,0.05399568034557236,0.8665231431646931,0.5680851063829787,0.503921568627451,0.5355910066237521,0.1560475161987041,0.8665231431646931,0.5234042553191489,0.4176470588235294,0.46412911652206357,3
0.05345572354211663,0.8622174381054897,0.3553191489361703,0.3254901960784314,0.30282675622725996,0.183585313174946,0.8643702906350914,0.42340425531914894,0.48431372549019613,0.3866032279130515,0.055615550755939526,0.8665231431646931,0.4510638297872341,0.4274509803921569,0.4080604534005037,0.18466522678185746,0.9095801937567276,0.4617021276595745,0.43137254901960786,0.43455546226327074,0.055615550755939526,0.8697524219590957,0.6340425531914894,0.49607843137254903,0.5616195540628789,0.16306695464362853,0.8805166846071043,0.5829787234042554,0.41568627450980394,0.494822278197593,2
0.05291576673866091,0.8654467168998923,0.3872340425531915,0.40784313725490196,0.36850452467580924,0.18412526997840173,0.867599569429494,0.4893617021276596,0.5568627450980392,0.4532139192088813,0.05345572354211663,0.8622174381054897,0.3553191489361703,0.3254901960784314,0.30282675622725996,0.183585313174946,0.8643702906350914,0.42340425531914894,0.48431372549019613,0.3866032279130515,0.055615550755939526,0.8665231431646931,0.4510638297872341,0.4274509803921569,0.4080604534005037,0.18466522678185746,0.9095801937567276,0.4617021276595745,0.43137254901960786,0.43455546226327074,3
0.05291576673866091,0.8665231431646931,0.5297872340425532,0.5078431372549019,0.4853064651553316,0.18466522678185746,0.867599569429494,0.5446808510638298,0.603921568627451,0.5095624591846254,0.05291576673866091,0.8654467168998923,0.3872340425531915,0.40784313725490196,0.36850452467580924,0.18412526997840173,0.867599569429494,0.4893617021276596,0.5568627450980392,0.4532139192088813,0.05345572354211663,0.8622174381054897,0.3553191489361703,0.3254901960784314,0.30282675622725996,0.183585313174946,0.8643702906350914,0.42340425531914894,0.48431372549019613,0.3866032279130515,2
0.05669546436285097,0.8740581270182992,0.6085106382978723,0.4882352941176471,0.5558354324097396,0.18628509719222464,0.8697524219590957,0.5659574468085107,0.4274509803921569,0.49883384644089923,0.05291576673866091,0.8665231431646931,0.5297872340425532,0.5078431372549019,0.4853064651553316,0.18466522678185746,0.867599569429494,0.5446808510638298,0.603921568627451,0.5095624591846254,0.05291576673866091,0.8654467168998923,0.3872340425531915,0.40784313725490196,0.36850452467580924,0.18412526997840173,0.867599569429494,0.4893617021276596,0.5568627450980392,0.4532139192088813,2
0.058315334773218146,0.8697524219590957,0.6361702127659574,0.47647058823529415,0.5541561712846347,0.1900647948164147,0.8740581270182992,0.5957446808510638,0.41372549019607846,0.500139938427092,0.05669546436285097,0.8740581270182992,0.6085106382978723,0.4882352941176471,0.5558354324097396,0.18628509719222464,0.8697524219590957,0.5659574468085107,0.4274509803921569,0.49883384644089923,0.05291576673866091,0.8665231431646931,0.5297872340425532,0.5078431372549019,0.4853064651553316,0.18466522678185746,0.867599569429494,0.5446808510638298,0.603921568627451,0.5095624591846254,3
0.05885529157667387,0.867599569429494,0.5531914893617021,0.4372549019607843,0.48661255714152435,0.19870410367170627,0.8837459634015069,0.5340425531914894,0.39803921568627454,0.4608638865565817,0.058315334773218146,0.8697524219590957,0.6361702127659574,0.47647058823529415,0.5541561712846347,0.1900647948164147,0.8740581270182992,0.5957446808510638,0.41372549019607846,0.500139938427092,0.05669546436285097,0.8740581270182992,0.6085106382978723,0.4882352941176471,0.5558354324097396,0.18628509719222464,0.8697524219590957,0.5659574468085107,0.4274509803921569,0.49883384644089923,3
0.06047516198704104,0.8697524219590957,0.5680851063829787,0.4254901960784314,0.49211680194047946,0.21220302375809935,0.8934337997847147,0.5340425531914894,0.39019607843137255,0.46030413284821337,0.05885529157667387,0.867599569429494,0.5531914893617021,0.4372549019607843,0.48661255714152435,0.19870410367170627,0.8837459634015069,0.5340425531914894,0.39803921568627454,0.4608638865565817,0.058315334773218146,0.8697524219590957,0.6361702127659574,0.47647058823529415,0.5541561712846347,0.1900647948164147,0.8740581270182992,0.5957446808510638,0.41372549019607846,0.500139938427092,3
0.0826133909287257,0.9106566200215285,0.5297872340425532,0.41372549019607846,0.4798955126411045,0.25377969762419006,0.9494079655543595,0.5553191489361702,0.403921568627451,0.4699132381752028,0.06047516198704104,0.8697524219590957,0.5680851063829787,0.4254901960784314,0.49211680194047946,0.21220302375809935,0.8934337997847147,0.5340425531914894,0.39019607843137255,0.46030413284821337,0.05885529157667387,0.867599569429494,0.5531914893617021,0.4372549019607843,0.48661255714152435,0.19870410367170627,0.8837459634015069,0.5340425531914894,0.39803921568627454,0.4608638865565817,4
0.08423326133909288,0.8697524219590957,0.5085106382978724,0.4254901960784314,0.4573187797369157,0.26619870410367175,0.891280947255113,0.5148936170212767,0.37647058823529417,0.436701184812016,0.0826133909287257,0.9106566200215285,0.5297872340425532,0.41372549019607846,0.4798955126411045,0.25377969762419006,0.9494079655543595,0.5553191489361702,0.403921568627451,0.4699132381752028,0.06047516198704104,0.8697524219590957,0.5680851063829787,0.4254901960784314,0.49211680194047946,0.21220302375809935,0.8934337997847147,0.5340425531914894,0.39019607843137255,0.46030413284821337,4
