S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,Danger Rating
264.0,17.0,-4.3,-2.4,-3.1826086956521737,690.0,64.0,-4.5,-2.2,-3.730434782608696,247.0,3.0,-6.8,-2.5,-5.008695652173913,626.0,13.0,-4.8,-3.8,-4.391304347826087,4
266.0,-8.0,-15.6,-3.7,-11.769565217391305,733.0,0.0,-5.4,8.1,-1.1739130434782608,274.0,-4.0,-11.7,-3.8,-9.530434782608696,733.0,10.0,-2.7,3.6,-0.4826086956521739,2
416.0,4.0,-0.9,14.3,4.321739130434783,1118.0,-2.0,2.6,15.5,6.3130434782608695,412.0,-2.0,0.1,9.6,5.839130434782609,1120.0,3.0,-1.4,12.1,2.782608695652174,3
427.0,14.0,0.0,3.8,1.891304347826087,1149.0,30.0,-0.3,2.3,0.5565217391304348,413.0,-6.0,-3.2,4.0,0.11304347826086956,1119.0,1.0,-1.1,3.8,0.6869565217391305,3
476.0,-2.0,-4.1,4.3,-0.24782608695652178,1390.0,50.0,-2.8,1.6,-1.2347826086956522,478.0,20.0,-4.7,-2.0,-3.3434782608695652,1340.0,5.0,-3.6,0.2,-2.391304347826087,3
521.0,21.0,-0.9,2.6,0.6260869565217392,1480.0,48.0,-1.3,4.3,0.1869565217391304,500.0,19.0,-0.5,1.5,0.05217391304347825,1432.0,21.0,-0.7,0.2,-0.2826086956521739,4
570.0,11.0,-12.6,8.4,-5.517391304347826,1682.0,-3.0,-6.8,8.4,-0.9869565217391304,559.0,0.0,-13.4,5.0,-5.678260869565218,1685.0,-1.0,-8.0,6.2,-3.347826086956522,2
593.0,0.0,-1.0,15.5,5.130434782608695,1724.0,-5.0,2.0,17.5,7.891304347826087,593.0,3.0,-2.0,16.9,4.869565217391305,1729.0,-3.0,3.3,18.1,8.782608695652174,3
479.0,-24.0,3.4,10.1,5.752173913043478,1571.0,-26.0,3.7,5.9,4.582608695652174,503.0,-18.0,1.5,11.3,5.7,1597.0,-24.0,4.4,13.4,7.843478260869565,-1
0,0,6.6,12.1,8.81304347826087,789.0,-34.0,5.5,15.6,9.960869565217392,0,0,2.7,15.7,8.417391304347825,823.0,-22.0,3.9,17.9,9.995652173913044,-1
0,0,7.1,14.0,10.034782608695652,98.0,-33.0,5.6,13.7,7.7043478260869565,0,0,5.7,14.0,9.060869565217391,131.0,-27.0,4.2,9.9,6.608695652173913,-1
