Date,Total Snow,Daily Delta,Min,Max,Mean
2014-01-01,289.0,289.0,-5.2,-0.7,-3.121739130434783
2014-01-02,302.0,13.0,-2.4,-0.8,-1.691304347826087
2014-01-03,342.0,40.0,-8.1,0.0,-4.5
2014-01-04,340.0,-2.0,-9.9,2.7,-6.734782608695652
2014-01-05,341.0,1.0,-6.8,6.4,-3.630434782608696
2014-01-06,342.0,1.0,-4.2,8.8,-1.0043478260869565
2014-01-07,345.0,3.0,-3.2,-0.2,-1.5043478260869565
2014-01-08,352.0,7.0,-1.8,-0.9,-1.4434782608695653
2014-01-09,368.0,16.0,-4.7,-1.7,-3.273913043478261
2014-01-10,393.0,25.0,-4.7,-2.1,-3.3
2014-01-11,470.0,77.0,-3.7,-1.4,-2.8521739130434782
2014-01-12,493.0,23.0,-5.6,-2.8,-4.4
2014-01-13,509.0,16.0,-3.3,2.0,-0.24782608695652172
2014-01-14,513.0,4.0,0.1,1.0,0.5608695652173913
2014-01-15,514.0,1.0,-1.0,0.4,-0.408695652173913
2014-01-16,513.0,-1.0,-1.7,8.1,0.6782608695652174
2014-01-17,512.0,-1.0,-0.4,11.4,3.1608695652173915
2014-01-18,511.0,-1.0,1.5,7.7,3.3086956521739133
2014-01-19,510.0,-1.0,-1.8,7.1,0.6391304347826087
2014-01-20,509.0,-1.0,-3.5,13.4,0.7086956521739131
2014-01-21,509.0,0.0,-0.3,8.2,2.5565217391304347
2014-01-22,508.0,-1.0,-3.4,9.6,1.8521739130434782
2014-01-23,507.0,-1.0,-1.3,13.3,2.6782608695652175
2014-01-24,509.0,2.0,2.8,18.0,6.747826086956522
2014-01-25,509.0,0.0,3.9,16.5,7.030434782608696
2014-01-26,508.0,-1.0,0.9,14.8,4.752173913043478
2014-01-27,507.0,-1.0,0.2,9.8,3.3130434782608695
2014-01-28,508.0,1.0,-1.0,2.2,0.6086956521739131
2014-01-29,508.0,0.0,-2.5,5.0,-0.017391304347826094
2014-01-30,509.0,1.0,-4.7,0.4,-2.6956521739130435
2014-01-31,504.0,-5.0,-12.4,2.7,-7.073913043478261
2014-02-01,503.0,-1.0,-11.4,-1.1,-7.969565217391304
2014-02-02,503.0,0.0,-12.2,-1.6,-7.934782608695652
2014-02-03,503.0,0.0,-12.9,-5.6,-9.608695652173914
2014-02-04,502.0,-1.0,-19.7,-10.2,-14.982608695652173
2014-02-05,502.0,0.0,-19.3,-9.4,-15.543478260869565
2014-02-06,503.0,1.0,-18.9,-7.9,-14.778260869565218
2014-02-07,503.0,0.0,-18.5,-5.5,-14.069565217391304
2014-02-08,505.0,2.0,-14.8,-3.2,-11.321739130434782
2014-02-09,507.0,2.0,-14.3,-1.4,-9.57391304347826
2014-02-10,511.0,4.0,-11.0,-2.5,-6.995652173913044
2014-02-11,530.0,19.0,-7.3,-3.2,-4.3130434782608695
2014-02-12,571.0,41.0,-4.7,3.0,-2.0217391304347827
2014-02-13,597.0,26.0,-4.0,0.0,-2.765217391304348
2014-02-14,613.0,16.0,-4.1,0.0,-2.734782608695652
2014-02-15,622.0,9.0,-4.8,-1.7,-3.1869565217391305
2014-02-16,657.0,35.0,-6.8,-2.8,-4.595652173913043
2014-02-17,696.0,39.0,-5.8,1.8,-3.652173913043478
2014-02-18,711.0,15.0,-5.2,-3.2,-4.521739130434782
2014-02-19,748.0,37.0,-7.8,-0.8,-5.3304347826086955
2014-02-20,766.0,18.0,-6.3,2.2,-4.647826086956521
2014-02-21,771.0,5.0,-13.5,2.5,-5.8304347826086955
2014-02-22,771.0,0.0,-12.5,-5.0,-8.695652173913043
2014-02-23,776.0,5.0,-9.5,-6.5,-8.095652173913043
2014-02-24,784.0,8.0,-9.7,-3.1,-7.717391304347826
2014-02-25,790.0,6.0,-6.4,11.0,-1.2043478260869565
2014-02-26,791.0,1.0,-2.7,13.2,1.6695652173913043
2014-02-27,791.0,0.0,0.0,11.3,3.378260869565217
2014-02-28,793.0,2.0,-0.8,4.3,1.2304347826086957
2014-03-01,784.0,-9.0,-13.7,-2.3,-8.256521739130434
2014-03-02,788.0,4.0,-10.4,-2.9,-8.447826086956521
2014-03-03,822.0,34.0,-4.2,0.2,-2.791304347826087
2014-03-04,833.0,11.0,-8.2,1.0,-4.060869565217391
2014-03-05,840.0,7.0,-3.9,3.4,-1.9782608695652173
2014-03-06,866.0,26.0,-1.7,1.1,-0.15217391304347827
2014-03-07,877.0,11.0,-0.4,0.3,-0.1391304347826087
2014-03-08,889.0,12.0,-1.6,-0.1,-0.808695652173913
2014-03-09,947.0,58.0,-2.7,3.1,-0.2956521739130435
2014-03-10,947.0,0.0,-3.4,5.5,-0.19565217391304346
2014-03-11,945.0,-2.0,-6.1,4.1,-1.7652173913043478
2014-03-12,943.0,-2.0,-5.0,7.7,-0.5782608695652174
2014-03-13,942.0,-1.0,-6.2,4.9,-1.326086956521739
2014-03-14,962.0,20.0,-2.5,1.7,-0.8826086956521739
2014-03-15,972.0,10.0,-2.7,0.3,-1.7217391304347827
2014-03-16,1020.0,48.0,-2.0,-0.4,-0.9608695652173913
2014-03-17,1033.0,13.0,-8.2,4.0,-3.117391304347826
2014-03-18,1033.0,0.0,-6.1,0.4,-3.769565217391304
2014-03-19,1053.0,20.0,-3.4,1.3,-2.273913043478261
2014-03-20,1060.0,7.0,-7.5,1.1,-4.178260869565217
2014-03-21,1057.0,-3.0,-10.4,4.9,-4.869565217391305
2014-03-22,1058.0,1.0,-8.9,-1.0,-5.530434782608696
2014-03-23,1062.0,4.0,-9.1,6.5,-3.3304347826086955
2014-03-24,1064.0,2.0,-4.2,6.2,-0.8478260869565217
2014-03-25,1068.0,4.0,-0.7,2.7,0.5043478260869565
2014-03-26,1099.0,31.0,-2.8,7.1,-0.3826086956521739
2014-03-27,1100.0,1.0,-5.9,4.9,-1.365217391304348
2014-03-28,1102.0,2.0,-1.5,1.0,-0.7391304347826086
2014-03-29,1136.0,34.0,-1.7,1.1,-0.7869565217391304
2014-03-30,1162.0,26.0,-2.7,1.9,-1.2391304347826086
2014-03-31,1166.0,4.0,-5.8,6.3,-0.7347826086956522
2014-04-01,1164.0,-2.0,-6.6,9.1,-0.11304347826086955
2014-04-02,1164.0,0.0,-4.8,6.6,-0.13043478260869568
2014-04-03,1165.0,1.0,-2.5,1.0,-1.134782608695652
2014-04-04,1185.0,20.0,-2.4,2.3,-0.8913043478260869
2014-04-05,1192.0,7.0,-2.2,0.8,-0.8652173913043478
2014-04-06,1206.0,14.0,-3.7,4.3,-0.4043478260869565
2014-04-07,1221.0,15.0,-1.0,3.9,0.6869565217391305
2014-04-08,1219.0,-2.0,1.9,6.1,3.630434782608696
2014-04-09,1211.0,-8.0,-4.9,6.5,-0.3
2014-04-10,1208.0,-3.0,-3.0,5.4,0.039130434782608726
2014-04-11,1209.0,1.0,-1.1,6.2,1.0782608695652174
2014-04-12,1204.0,-5.0,-2.4,9.0,2.5043478260869567
2014-04-13,1201.0,-3.0,-2.7,12.9,3.6956521739130435
2014-04-14,1199.0,-2.0,-1.8,10.6,3.543478260869565
2014-04-15,1200.0,1.0,-1.5,6.3,1.5739130434782609
2014-04-16,1209.0,9.0,-1.8,1.6,-0.2565217391304348
2014-04-17,1228.0,19.0,-0.8,2.4,0.5260869565217392
2014-04-18,1237.0,9.0,-2.7,3.8,-0.17826086956521742
2014-04-19,1237.0,0.0,-2.1,1.9,-0.7391304347826086
2014-04-20,1247.0,10.0,-3.1,2.3,-0.5478260869565218
2014-04-21,1258.0,11.0,-1.4,1.5,-0.21739130434782608
2014-04-22,1271.0,13.0,-1.0,4.4,1.0739130434782609
2014-04-23,1270.0,-1.0,-3.6,3.6,-0.5782608695652174
2014-04-24,1275.0,5.0,-2.1,2.2,-0.4869565217391304
2014-04-25,1289.0,14.0,-2.4,10.0,0.42608695652173917
2014-04-26,1287.0,-2.0,-4.1,5.9,-0.2652173913043478
2014-04-27,1295.0,8.0,-3.1,3.4,-0.8347826086956522
2014-04-28,1302.0,7.0,-2.6,6.2,-0.191304347826087
2014-04-29,1303.0,1.0,-0.4,11.1,2.9043478260869566
2014-04-30,1298.0,-5.0,2.9,19.2,8.830434782608695
2014-05-01,1282.0,-16.0,6.6,22.5,12.917391304347825
2014-05-02,1256.0,-26.0,5.5,15.8,10.456521739130435
2014-05-03,1241.0,-15.0,0.6,8.1,3.8130434782608695
2014-05-04,1229.0,-12.0,0.1,7.1,1.9478260869565216
2014-05-05,1221.0,-8.0,0.7,8.1,3.360869565217391
2014-05-06,1203.0,-18.0,-0.5,11.3,4.086956521739131
2014-05-07,1190.0,-13.0,0.5,13.1,5.808695652173913
2014-05-08,1165.0,-25.0,1.5,9.6,4.495652173913044
2014-05-09,1157.0,-8.0,0.7,3.6,1.4739130434782608
2014-05-10,1149.0,-8.0,0.1,10.5,2.882608695652174
2014-05-11,1131.0,-18.0,1.2,15.2,6.573913043478261
2014-05-12,1087.0,-44.0,2.8,14.4,7.456521739130435
2014-05-13,1069.0,-18.0,3.7,18.0,8.556521739130435
2014-05-14,1017.0,-52.0,5.2,21.7,11.704347826086957
2014-05-15,986.0,-31.0,5.9,21.7,12.373913043478261
2014-05-16,965.0,-21.0,6.8,17.1,10.678260869565218
2014-05-17,939.0,-26.0,3.9,12.4,6.2043478260869565
2014-05-18,922.0,-17.0,2.4,9.3,5.456521739130435
2014-05-19,909.0,-13.0,2.7,8.2,5.034782608695652
2014-05-20,898.0,-11.0,2.1,15.1,6.726086956521739
2014-05-21,875.0,-23.0,3.7,12.4,7.317391304347826
2014-05-22,861.0,-14.0,4.6,12.7,7.147826086956521
2014-05-23,850.0,-11.0,6.0,12.6,7.7
2014-05-24,818.0,-32.0,3.1,8.6,5.3
2014-05-25,810.0,-8.0,3.0,6.3,4.434782608695652
2014-05-26,805.0,-5.0,1.7,7.2,3.534782608695652
2014-05-27,0,-805.0,0.5,11.0,4.717391304347826
2014-05-28,0,0,1.1,10.2,5.730434782608696
2014-05-29,0,0,2.8,9.4,4.8652173913043475
2014-05-30,0,0,2.3,15.1,6.921739130434783
2014-05-31,0,0,3.8,17.6,10.443478260869565
2014-06-01,0,0,4.5,20.1,11.747826086956522
2014-06-02,0,0,5.6,20.8,12.078260869565218
2014-06-03,0,0,6.0,20.1,11.582608695652175
2014-06-04,0,0,4.5,14.9,8.8
2014-06-05,0,0,2.0,15.7,8.421739130434784
2014-06-06,0,0,3.1,15.1,9.308695652173913
2014-06-07,0,0,4.2,17.3,10.139130434782608
2014-06-08,0,0,5.8,14.4,9.48695652173913
2014-06-09,0,0,3.0,14.2,7.547826086956522
2014-06-10,0,0,3.1,11.9,6.217391304347826
2014-06-11,0,0,3.0,15.6,7.978260869565217
2014-06-12,0,0,5.5,17.6,10.378260869565217
2014-06-13,0,0,4.9,16.4,9.230434782608695
2014-06-14,0,0,4.5,13.1,7.234782608695652
