S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,S1_total_3,S1_delta_3,S1_min_3,S1_max_3,S1_mean_3,S2_total_3,S2_delta_3,S2_min_3,S2_max_3,S2_mean_3,Danger Rating
111.0,5.0,-13.7,-5.2,-8.891304347826086,137.0,-2.0,-11.2,-1.1,-7.569565217391304,106.0,0.0,-23.2,-6.7,-18.839130434782607,139.0,-4.0,-15.5,-0.1,-11.391304347826088,106.0,-6.0,-29.8,-18.2,-24.713043478260868,143.0,-4.0,-16.7,-6.2,-12.330434782608696,112.0,28.0,-20.3,-4.9,-14.61304347826087,147.0,-11.0,-4.2,3.3,-0.013043478260869566,2
125.0,11.0,-7.2,3.7,-0.2043478260869565,143.0,-14.0,0.2,3.7,1.7521739130434784,114.0,1.0,-11.4,-3.2,-8.639130434782608,157.0,10.0,-0.7,1.8,0.16086956521739132,113.0,1.0,-13.6,-4.7,-10.891304347826088,147.0,6.0,-3.5,6.3,-0.6173913043478261,112.0,2.0,-14.4,-6.8,-11.452173913043477,141.0,8.0,-5.6,7.2,-1.9521739130434783,2
129.0,4.0,2.0,5.3,3.5043478260869563,145.0,2.0,0.1,3.7,1.5391304347826087,125.0,0.0,-0.8,3.5,1.2,143.0,0.0,-0.1,3.7,0.7521739130434782,125.0,11.0,-7.2,3.7,-0.2043478260869565,143.0,-14.0,0.2,3.7,1.7521739130434784,114.0,1.0,-11.4,-3.2,-8.639130434782608,157.0,10.0,-0.7,1.8,0.16086956521739132,3
161.0,2.0,-2.5,0.4,-1.1782608695652175,215.0,43.0,-1.0,0.0,-0.3,159.0,19.0,-1.3,0.8,0.11304347826086956,172.0,13.0,-0.6,0.9,-0.06956521739130435,140.0,10.0,0.3,2.3,1.0956521739130434,159.0,1.0,0.0,3.7,1.8695652173913044,130.0,1.0,1.0,3.4,2.1652173913043478,158.0,13.0,0.1,4.4,2.108695652173913,3
252.0,-4.0,-3.6,6.7,2.5043478260869567,476.0,-5.0,1.4,12.5,4.256521739130434,256.0,13.0,-1.0,6.6,4.308695652173913,481.0,22.0,0.0,3.8,2.0869565217391304,243.0,17.0,-15.9,2.1,-7.452173913043478,459.0,60.0,-3.8,-0.1,-1.5260869565217392,226.0,9.0,-18.9,-1.4,-15.330434782608696,399.0,10.0,-6.5,-4.5,-5.930434782608695,3
246.0,11.0,-5.3,4.5,-0.9695652173913043,561.0,-5.0,-3.8,8.2,0.3695652173913043,235.0,-5.0,-5.7,3.3,-1.6695652173913043,566.0,-6.0,-2.5,5.5,-0.04347826086956522,240.0,-12.0,1.9,6.3,3.4043478260869566,572.0,-5.0,1.9,5.2,2.9347826086956523,252.0,-12.0,2.4,9.3,5.473913043478261,577.0,-12.0,2.7,10.4,5.1,1
264.0,-10.0,-2.9,5.8,-0.3869565217391305,567.0,1.0,-3.4,1.5,-1.6130434782608696,274.0,15.0,-6.4,2.2,-2.752173913043478,566.0,-5.0,-5.1,1.3,-2.5521739130434784,259.0,1.0,1.2,8.4,4.1869565217391305,571.0,-2.0,-2.2,7.0,1.4782608695652173,258.0,-27.0,-3.5,12.7,0.9608695652173913,573.0,0.0,0.4,13.2,4.217391304347826,1
292.0,4.0,-1.5,4.9,0.8347826086956522,719.0,0.0,-2.3,3.7,0.7130434782608696,288.0,10.0,0.1,3.6,1.9,719.0,29.0,0.0,3.0,1.1695652173913043,278.0,15.0,0.3,4.7,1.3043478260869565,690.0,33.0,-1.9,2.1,-0.5217391304347826,263.0,-23.0,0.0,5.2,1.9565217391304348,657.0,-3.0,-0.1,5.3,2.0,3
282.0,-3.0,1.8,8.6,4.504347826086956,742.0,-4.0,0.7,11.4,4.6695652173913045,285.0,10.0,1.7,10.3,4.339130434782609,746.0,-1.0,-1.4,9.3,1.7391304347826089,275.0,-3.0,-2.7,4.5,-0.5304347826086957,747.0,1.0,-4.5,4.4,-1.5869565217391304,278.0,-15.0,-6.4,2.9,-2.230434782608696,746.0,14.0,-6.8,5.1,-1.8130434782608695,2
8.0,-35.0,1.7,19.0,9.052173913043479,548.0,-32.0,4.6,15.7,8.443478260869565,43.0,-27.0,2.7,18.9,9.121739130434783,580.0,-23.0,5.2,21.4,11.31304347826087,70.0,-25.0,1.8,15.4,8.352173913043478,603.0,-18.0,5.4,16.2,10.73913043478261,95.0,-17.0,0.7,16.6,7.160869565217391,621.0,-14.0,4.7,18.7,10.504347826086956,-1
0,0,7.6,15.2,10.591304347826087,0,0,5.4,11.4,7.126086956521739,0,0,3.3,18.2,10.178260869565218,0,0,9.2,19.1,13.330434782608696,0,0,0.1,17.3,8.317391304347826,0,-6.0,4.8,18.2,11.208695652173914,0,0,2.7,15.0,9.317391304347826,6.0,-33.0,6.8,17.3,11.92608695652174,-1
0,0,10.7,24.5,17.72608695652174,2.0,-1.0,13.6,26.0,18.321739130434782,0,0,9.4,26.4,17.982608695652175,3.0,0.0,14.9,26.8,20.713043478260868,0,0,10.4,27.1,19.108695652173914,3.0,3.0,14.7,28.1,20.713043478260868,0,0,8.2,28.2,16.917391304347827,0.0,0.0,12.7,26.0,18.12608695652174,-1
0,0,8.4,17.7,11.48695652173913,0,0.0,8.2,10.5,8.956521739130435,0,0,11.5,20.7,14.504347826086956,0.0,-2.0,9.3,21.7,11.730434782608695,0,0,10.7,24.5,17.72608695652174,2.0,-1.0,13.6,26.0,18.321739130434782,0,0,9.4,26.4,17.982608695652175,3.0,0.0,14.9,26.8,20.713043478260868,-1
0,0,8.8,25.9,17.243478260869566,2.0,1.0,14.3,25.4,19.621739130434783,0,0,9.4,25.2,16.308695652173913,1.0,1.0,13.3,24.2,18.26086956521739,0,0,3.7,20.1,10.617391304347827,0,0,8.4,20.7,13.7,0,0,1.0,17.4,7.8304347826086955,0,0,6.3,17.6,11.008695652173913,-1
0,0,0.2,5.0,1.9304347826086956,0,0,0.5,4.2,2.408695652173913,0,0,0.5,6.3,2.582608695652174,0,0,1.8,5.0,3.391304347826087,0,0,3.7,7.0,5.434782608695652,0,0,4.6,8.1,5.826086956521739,0,0,5.2,10.5,6.739130434782608,0,0,4.9,8.1,6.343478260869565,-1
