S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,Danger Rating
0,0,0.0,0.0,0.0,167.0,-50.0,0.0,20.4,9.747826086956522,-1
0,0,0.0,0.0,0.0,15.0,-27.0,7.9,21.5,14.147826086956522,-1
0,0,0.0,0.0,0.0,0,0,0.0,16.3,7.904347826086957,-1
0,0,0.0,0.0,0.0,0,0,0.0,3.9,0.6086956521739131,-1
0,0,0.0,0.0,0.0,0,0,8.7,18.9,13.547826086956523,-1
27.0,-6.0,-3.0,5.5,-0.22608695652173913,58.0,-12.0,0.2,12.5,4.48695652173913,-1
24.0,-3.0,-0.2,11.3,2.856521739130435,57.0,-1.0,4.8,23.7,10.91304347826087,-1
155.0,-8.0,0.0,5.4,2.217391304347826,469.0,-22.0,0.3,6.5,3.2130434782608694,-1
223.0,1.0,-14.9,-6.7,-10.969565217391304,646.0,3.0,-10.5,0.0,-5.452173913043478,2
313.0,12.0,-1.7,3.8,0.5304347826086957,823.0,17.0,-2.5,1.8,-1.0217391304347827,3
440.0,0.0,-13.1,1.6,-5.78695652173913,1229.0,20.0,-6.3,-1.4,-4.173913043478261,4
529.0,-4.0,-10.9,2.8,-4.973913043478261,1594.0,2.0,-9.8,7.6,-3.7869565217391306,2
539.0,-1.0,-9.3,3.1,-4.182608695652174,1610.0,1.0,-5.3,8.6,-0.5347826086956521,2
555.0,7.0,-4.1,2.0,-1.2521739130434781,1608.0,-2.0,-4.3,2.5,-1.4739130434782608,1
584.0,2.0,-7.3,1.0,-3.0869565217391304,1753.0,2.0,-5.0,2.9,-2.3434782608695652,3
652.0,-8.0,3.4,9.3,6.378260869565217,1803.0,-4.0,2.3,13.4,4.391304347826087,-1
536.0,-12.0,1.7,12.4,6.282608695652174,1733.0,-14.0,4.3,19.5,9.165217391304347,-1
223.0,-33.0,5.3,12.9,8.117391304347827,1425.0,-39.0,4.3,8.5,5.965217391304348,-1
4.0,-3.0,-1.1,8.4,2.9869565217391303,1182.0,-27.0,1.4,9.7,5.091304347826087,-1
4.0,0.0,-0.8,8.4,2.634782608695652,1160.0,-22.0,0.0,9.7,4.569565217391304,-1
4.0,2.0,4.0,9.7,6.369565217391305,1072.0,-16.0,3.9,10.4,6.078260869565217,-1
2.0,-2.0,0.6,6.5,3.473913043478261,1051.0,-21.0,0.7,7.4,3.0695652173913044,-1
2.0,-1.0,3.2,14.5,7.021739130434782,0,0,4.6,15.6,8.978260869565217,-1
4.0,-1.0,9.7,17.8,13.252173913043478,0,-1.0,10.1,19.8,12.326086956521738,-1
5.0,0.0,9.7,24.0,16.26086956521739,3.0,0.0,14.1,26.7,20.143478260869564,-1
2.0,-1.0,1.5,6.5,3.0217391304347827,0,0,2.6,5.0,3.5956521739130434,-1
18.0,-1.0,-0.3,13.7,4.334782608695652,0,0,7.4,19.5,11.578260869565216,-1
4.0,0.0,1.8,4.6,3.1826086956521737,0,0,1.4,2.6,1.8304347826086957,-1
198.0,-1.0,-14.4,-5.4,-10.782608695652174,744.0,5.0,-11.1,-1.5,-7.260869565217392,2
