S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,Danger Rating
294.0,5.0,0.5,5.0,2.9260869565217393,563.0,14.0,-2.3,1.0,-1.2608695652173914,289.0,8.0,-2.9,4.7,0.3217391304347826,549.0,-1.0,-6.1,2.7,-3.2,281.0,1.0,-4.2,-0.1,-2.691304347826087,550.0,-3.0,-8.0,3.7,-4.091304347826087,2
264.0,-14.0,3.2,7.4,5.552173913043478,589.0,-4.0,3.0,4.2,3.6695652173913045,278.0,-15.0,0.2,7.8,3.4,593.0,32.0,2.2,3.8,3.0739130434782607,293.0,-1.0,3.3,6.9,4.730434782608696,561.0,-2.0,-0.1,2.1,0.6782608695652174,3
253.0,2.0,-4.7,4.3,-0.8652173913043478,555.0,-4.0,-2.4,5.0,0.11304347826086956,251.0,5.0,0.7,5.3,3.0304347826086957,559.0,-2.0,-1.5,4.6,0.7130434782608696,246.0,11.0,-5.3,4.5,-0.9695652173913043,561.0,-5.0,-3.8,8.2,0.3695652173913043,1
287.0,-2.0,-0.7,6.2,1.2304347826086957,610.0,-3.0,0.8,3.7,1.7695652173913043,289.0,8.0,-0.6,4.2,0.6956521739130435,613.0,-7.0,0.1,3.7,1.2695652173913043,281.0,-3.0,0.7,4.1,2.0739130434782607,620.0,-3.0,0.8,2.2,1.4173913043478261,3
301.0,6.0,-5.8,13.0,-0.8434782608695651,581.0,-5.0,-1.4,15.4,3.7043478260869565,295.0,3.0,-6.7,5.0,-2.591304347826087,586.0,-6.0,-2.7,5.9,0.8826086956521739,292.0,4.0,-7.1,9.9,-2.3347826086956522,592.0,-9.0,-3.4,9.4,0.9695652173913043,1
267.0,-28.0,-6.3,3.5,-2.243478260869565,577.0,-6.0,-3.5,5.8,-0.08695652173913042,295.0,30.0,-6.0,4.8,-0.7565217391304349,583.0,1.0,-1.3,3.6,0.26521739130434785,265.0,-16.0,1.3,4.5,3.0391304347826087,582.0,3.0,0.1,2.6,0.9304347826086957,1
279.0,20.0,-3.3,12.5,1.9478260869565218,542.0,0.0,-0.2,14.0,4.756521739130434,259.0,16.0,-2.6,11.1,2.8434782608695652,542.0,-2.0,-0.6,13.5,4.1521739130434785,243.0,-8.0,0.8,6.7,3.5565217391304347,544.0,0.0,-2.2,8.4,1.3434782608695652,1
43.0,-27.0,2.7,18.9,9.121739130434783,580.0,-23.0,5.2,21.4,11.31304347826087,70.0,-25.0,1.8,15.4,8.352173913043478,603.0,-18.0,5.4,16.2,10.73913043478261,95.0,-17.0,0.7,16.6,7.160869565217391,621.0,-14.0,4.7,18.7,10.504347826086956,-1
0,0,3.9,19.4,11.256521739130434,0,0,9.4,20.4,14.917391304347825,0,0,3.1,20.3,11.247826086956522,0,0.0,10.1,21.0,15.604347826086956,0,0,10.3,21.1,16.321739130434782,0.0,0.0,11.4,22.5,17.569565217391304,-1
0,0,10.7,24.5,17.72608695652174,2.0,-1.0,13.6,26.0,18.321739130434782,0,0,9.4,26.4,17.982608695652175,3.0,0.0,14.9,26.8,20.713043478260868,0,0,10.4,27.1,19.108695652173914,3.0,3.0,14.7,28.1,20.713043478260868,-1
0,0,7.4,15.9,11.41304347826087,0,0,9.2,12.0,10.11304347826087,0,0,8.4,17.7,11.48695652173913,0,0.0,8.2,10.5,8.956521739130435,0,0,11.5,20.7,14.504347826086956,0.0,-2.0,9.3,21.7,11.730434782608695,-1
0,0,8.2,22.9,15.004347826086956,0,0,12.8,22.2,17.269565217391303,0,0,6.6,25.2,13.143478260869566,0,0,11.4,24.0,16.508695652173913,0,0,3.9,22.0,11.617391304347827,0,0,8.3,20.5,13.039130434782608,-1
0,0,5.7,18.2,11.356521739130434,0,0,8.6,19.1,13.569565217391304,0,0,3.7,18.2,10.61304347826087,0,0,6.1,17.5,11.065217391304348,0,0,3.4,15.6,10.130434782608695,0,0,5.8,16.5,10.839130434782609,-1
0,0,5.8,16.8,10.695652173913043,0,0,7.2,17.3,12.052173913043479,0,0,5.7,18.2,11.356521739130434,0,0,8.6,19.1,13.569565217391304,0,0,3.7,18.2,10.61304347826087,0,0,6.1,17.5,11.065217391304348,-1
0,0,-2.0,12.4,2.869565217391304,0,0,0.2,11.5,4.165217391304348,0,0,-1.0,8.2,3.3043478260869565,0,0,1.1,8.5,3.591304347826087,0,0,1.6,9.7,4.08695652173913,0,0,1.9,9.1,4.369565217391305,2
0,0,-1.7,9.7,3.3260869565217392,0,0,2.9,13.7,7.026086956521739,0,0,5.6,14.6,9.017391304347827,0,0,6.6,12.8,9.1,0,0,2.1,20.2,9.147826086956522,0,0,7.3,20.2,11.63913043478261,2
0,0,0.6,16.2,5.482608695652174,0,0,6.5,18.1,10.678260869565218,0,0,-2.2,16.6,3.482608695652174,0,0,4.7,16.8,9.152173913043478,0,0,-1.7,9.7,3.3260869565217392,0,0,2.9,13.7,7.026086956521739,2
0,0,1.5,4.8,3.026086956521739,0,0,-0.4,7.1,2.5739130434782607,0,0,2.9,9.3,6.6,0,0,3.1,5.4,4.139130434782609,0,0,-0.5,10.5,3.465217391304348,0,0,1.8,7.9,4.408695652173913,2
79.0,2.0,-1.8,3.3,0.3217391304347826,192.0,1.0,-3.0,9.0,0.5739130434782609,77.0,4.0,-5.7,1.0,-3.5739130434782607,191.0,0.0,-6.5,7.7,-3.208695652173913,73.0,-3.0,-14.6,-4.7,-11.595652173913043,191.0,-4.0,-8.9,3.4,-5.48695652173913,-1
